Date, Open, High, Low, Close, Settle Price, NO_CONTRACTS, Turnover(in lacs), OI
09-Sep-21,1422.95,1457.15,1422.95,1449.75,1449.75,11415,140255.15,40561150
08-Sep-21,1424.9,1447.2,1422.4,1432.6,1432.6,9228,112523.12,41045650
07-Sep-21,1447,1464.45,1425,1431.7,1431.7,14550,178657.76,41293000
06-Sep-21,1450.3,1458,1425.6,1443.2,1443.2,15079,184627.78,40693750
03-Sep-21,1431.7,1459,1418.85,1449.2,1449.2,18801,230348.32,40281500
02-Sep-21,1434.5,1437.5,1411.5,1430.75,1430.75,12013,145609.49,40394550
01-Sep-21,1454.8,1459.4,1408.1,1412.8,1412.8,17652,213620.09,41117900
31-Aug-21,1439.95,1461.1,1435.1,1450.75,1450.75,23711,292235.46,40585800
30-Aug-21,1401.5,1448.5,1401.5,1441.7,1441.7,22068,268540.71,39981450
27-Aug-21,1380.65,1398.4,1378.55,1386.05,1386.05,13035,153897.73,40759200
26-Aug-21,1393,1397,1367.2,1377.5,1377.5,22827,267729.62,41213100
25-Aug-21,1420.95,1428.4,1384,1394,1394,20765,248426.49,33841900
24-Aug-21,1389.8,1423.2,1380,1406.55,1406.55,24277,289508.04,27576550
23-Aug-21,1403.7,1412.25,1315.35,1361.3,1361.3,24115,280238.18,17323000
20-Aug-21,1465,1465,1369.55,1379.65,1379.65,11978,144190.29,7795350
18-Aug-21,1514.6,1523.55,1493,1506.1,1506.1,3485,44692.07,3655850
17-Aug-21,1519.65,1538,1495.55,1507.65,1507.65,2912,37552.4,2544900
16-Aug-21,1490.5,1538.9,1476.25,1522.15,1522.15,3828,49085.65,1871700
